,merchant_token,merchant_name,product_asin,product_name,product_average_review,review_user,review_rating,review_title,review_date,review_verified,review_content,review_helpful_vote
74813,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AEN422V5S6FOY2MMNPLP2IL2DUFQ,4,Be Careful.,2016-03-10,True,"I bought this USB hub because of all the reviews it had and Anker is pretty big on Amazon. I bought this for work, in two days, this f***ing thing melted. Thank god it didn't damage my work computer. There's no quality control, this hub probably wasn't grounded properly. I plugged in one peripheral. I will never buy another Anker product again. Gonna go back to the better known brands and pay the extra money.EDIT: They did contact me immediately and really looked into the problem. They requested the bad hub for troubleshooting and quality control. They sent me a new one. I've had the new one for a few months and no problems. The customer service at Anker was very helpful.",916.0
74814,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AHBSLK2J7MKBA4EDD4YMNNSR3WMQ,1,"For your own safety, Do not buy it. See picture attached.",2017-03-22,True,"This product just burnt itself though the middle part after about only 3 months' use, would not recommend it!!",774.0
74815,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AFF3OJGKQBIBXSQR5XH3L2PKSUPQ,5,AMAZING CUSTOMER SERVICE that ensured I received a working product!!  One Star to FIVE!!!,2017-09-12,True,"UPDATE BELOW ORIGINAL REVIEW:Product does not function properly. If the port is not perfectly plugged in straight it will disconnect! With a slight touch or bump it will disconnect instantly! I have no other issues with my laptop's usb ports when using them with any other device. This hub is going in the trash as it cannot be returned :(UPDATE: I cannot begin to state how far Anker went to ensure I had a working product!  They contacted me right away after I posted this review asking if they could send me a new port.  I agreed and in my next email told them I was no longer at that address; I travel for business.  They had already mailed out the product before seeing my email and  re-sent another port to the current address.  Their amazing customer service NEVER wavered even though my travels took me elseware which delayed a re-review of their product.  The new port works flawlessly and doesn't disrupt the power when I have 4 - 3.0 harddrives all plugged in an operating!  The USB ports are a snug fit preventing your harddrives from unintentional disconnections if bumped.  I will continue to purchase Anker products knowing that if something goes wrong, there is an amazing company standing behind the products that will make it go right!!",93.0
74816,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AHBGLQA4W7HTO2ZPIXDAWDTMQ4MA,4,"If you don't order the model with power supply, you get a non-powered model hub.  There are in fact 2 models that look identical",2016-04-07,True,"I like this hub, and I like Anker products.  However, I need to deduct 1 star because of variances in the models that are not listed (as far as I can see), or apparent from their pictures.The model of hub that comes with a power adapter for 2x the cost of the non-power adapter-included model and is NOT the same as the power-included model. The non-power adapter models LACKS the additional power hole so that you can power the hub (to run devices like USB hard drives, scanners, etc.).  Again, no pictures show this omission, nor did I see it in writing anywhere.It is a shame because this is a great hub and the company seems to make quality items, they just fail to mention that the item comes sans an ability to add power; note that the ability to power your hub is not needed for many USB devices.  Don't get me wrong, the hub works fine without the power adapter, it is not needed on 90% of the USB items I use.  But some items need power, and one of their models does not have the option to add supplemental power if needed.It is also a shame because Anker also did another AMAZING thing on the powered model.  Rather than using a barrel connector to power their hub (which will get lost at some point by anyone), Anker went with a MICRO-USB connector to add supplemental power to their hub.  What this means is that if you lost the power cable, any Samsung/Android cell phone charger you have will work to power this hub.  That is a STELLAR idea, and I wish more manufacturers would get away from semi-proprietary power connections and stick with industry-standard USB cables for powering low-voltage devices, such as this USB hub.",184.0
74817,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AE2YMYFCEHBPQEGJLRK3UHHBIDSQ,5,Be Careful How Much Current You Draw: See this Review,2015-12-11,True,"Unit is compact, very light, and well made; supports a total of 900 mA which is what a USB 3.0 Port can supply; if you have USB 2.0 ports, be careful that the total of all the devices plugged into this hub is 500 mA or less; there is a chart which lists a few common devices but you can check how much current a device is drawing by opening:Control Panel --> Device Manager --> Universal Serial Bus Controllers --> Select the port or hub --> select the Power Tab.You may have to select a few before you find the one you are interested in. When I selected the first ""Generic Port"" it listed the items plugged into the hub: the wireless mouse receiver at 100 mA and the same for the keyboard receiver. I have a video card plugged into another port by itself, it shows 500 mA. Remember that though the hub will support 900 mA...if your computer has USB 2.0 ports, ONLY plug in a max of 500 mA in devices into the hub. (I have windows 7, so if your OS is different, the method of examining the ports may be different.)In my application, I have the laptop on a shelf and the wireless mouse was not working well; with the receiver plugged into the hub and the hub ""dangling on its 6"" cord, the receiver is now 10"" closer to the mouse and it works fine.Cons; product description did not indicate total mA supported by this device; also a caution about using it only for 500 mA max (USB 2.0) or 900 mA max (USB 3.0) would have been very appropriate in the buying description.",128.0
74818,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AFQNAELYWLHCCRUD7HD6JB6HFK7Q,1,"This hub disrupts WiFi connections & degrades bluetooth connections.  ""This AMAZON PRIME item isn't eligible for return.""",2017-09-14,True,"This hub totally disrupts WiFi connections and degrades bluetooth connections.  I purchased 2 of these for different computers (Apple Mac Minis) and both caused interference in the same way on both computers.  I happen to be a Prof. of Electrical Engineering at a major university and have verified that the problem is caused entirely by the connection of these devices to any computer of this type.  I am an Amazon PRIME customer and expect that Amazon will make this item (offered through PRIME) right-- we'll see, but exactly because these were offered as a PRIME product, I was persuaded to buy it thinking that the PRIME label would provide buyer protection. It was not until later that I saw that ""This item isn't eligible for return.""  Note that in the Warranty section of the product listing on the Amazon.com site, there is no mention of this PRIME ""no return"" policy.  Can I trust PRIME to protect me?  We'll see, and I'll update here.ANKER MANAGEMENT UPDATE:  Amazon got back to me in less than 24 hours with a refund!  Great service from Amazon.com.  Now this may be due to the fact that I am an Amazon PRIME member, and may be a good reason for PRIME membership.  As to the two Anker 4-port hubs, Amazon says that there is NO need to return them.  I can just toss them into the waste bin.  Thank you Amazon PRIME.UPDATE No. 2:  Anker has been most accommodating and has tried to make some restitution for this defective 4-port hub design, offering cables and chargers, but I don't need those, I need a working USB 3.0 hub.  So they sent me their ""4-Port USB 3.0 Ultra Slim Data Hub with 3.3ft USB 3.0 Extension Cable for Mac, PC, USB Flash Drives and Other Devices"".  I told them that I would evaluate it and hoped that moving the hub farther from the computer might solve the interference issue and that I would give a fair evaluation here.  Sadly, it is the same 4-port hub, just with a cable extension, and suffers from the same problems.  I tried it on two different computers and it still adversely affected bluetooth and Wifi.  Unplugging the hub instantly cures the problem.  Therefore my negative one-star review must stand as a warning to others regarding this product.  It needs to be heavily shielded and taken off the market until that redesign is accomplished.  Sorry Anker :(",135.0
74819,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AGHQ3FIZ3TKJOQXNI2UJ3TW5CZFQ,1,Velcro 1: USB Port 0,2017-07-09,True,"I had this attached to the back of my Surface Pro with Velcro. The very first time I went to take it off (needed to move for my thumb drive) it broke apart. Mind you, I did not pull it up by the cord, I pinched the sides and lifted. Cruddy part is that I can't even return it. Might be a dud that I got, cause the other reviews are good, but I regret buying this. Even though it wasn't expensive per say, I could have used that money towards a Bluetooth mouse or something of the like.",26.0
74820,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AE5CYXISZOPZRBB2NEP6WK7BXXPA,1,Pure garbage. Avoid at all costs - Interferes with wireless devices,2020-11-22,True,"I have been an Anker fanboi for years. Their charging hubs, their cables - all (have been) fantastic. So, when I needed a USB expansion hub for my Mac Mini (running Catalina) I immediately went to Anker and clicked ""Buy Now.""When it arrived, I immediately noticed how cheaply made it felt. Thin, brittle feeling plastic and an extremely short cord. The USB ports felt flimsy. I was willing to dismiss those qualities... but as soon as I plugged it in to my Mac, my wireless keyboard quit working and my Logitech trackball became extremely glitchy and erratic.I unplugged the hub and everything functioned as normal. I tried plugging the hub back in, power cycling, and moving the Logitech wireless antenna to the Anker hub, but the result was the same each and every time: interference that made my wireless devices go wonky.I tried the hub on a Dell laptop, a Lenovo laptop, and my MacBook Pro, and the results were all the same: wireless interference. AVOID THIS PIECE OF JUNK AT ALL COSTS.Thankfully, Amazon service was extremely helpful and responsive, and the purchase was refunded. Anker, what's happened? You used to be the gold-standard... now, not so much...",3.0
74821,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AFQIKWLCNIEWZUA2W6ILQI5FY32A,1,Unplug the Anker unit and it hums along beautifully. It does not matter whether the Anker unit ...,2017-03-08,True,"It interferes with my Mac Mini using its functioning wireless connection.  The internet goes dead to me.  Unplug the Anker unit and it hums along beautifully.  It does not matter whether the Anker unit sits on top of the Mac or is located as far away as the cord permits... it kills the wireless connection every time.  I'm going to return it to Amazon.Also the unit is made of particularly flimsy plastic, but I suppose that's what I get for only 10 bucks.",32.0
74822,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AG22TMZXLII7KMB3YTOIPMTXEUUA,5,Works Great for MSI Gaming Laptop. (Windows) (two unexpected encounters though),2021-11-11,True,"I needed more usb ports and my MSI GP73 Leopard8RE gaming laptop only comes with 3, so headset takes 1, cooling fan pad takes 1, and mouse takes one, leaving no others for use. I bought this as it adds 4 more usb ports when needed. Since this laptop has the 3.2 gen 2 version of usb-c, I figured id use this one for my external drive and it works great. Note: I just use a generic external 1tb hdd, nothing high end to use the full capabilities of the usb-c as using an ssd you would actually get the full ssd speeds should you choose too.. The 2 unexpected encounters:1. For some reason when using my surround headset (usb) in this hub along with my external drive (that was actually being used with the game I was playing, meaning both sound and game files coming through simultaneously), The sound would cut out, there was no stuttering of the game, but the sound would get all delayed as more ""action"" would come on screen. (decided to just plug headset into laptop directly using one of the ports as mentioned above.2. This could be phone related, though I suspect driver related to be the likely problem. I have a pixel 2xl and it is a usb-c phone (one of the first actually which may also be the limitation of the phone), I could not use this with this hub to xfer files or anything and its not a charging port. So when I need to xfer files, I just swap out the headset port with the phone.(further thoughts on phone issue: I am fully aware that windows and android butt heads a lot and they never got their act together after the 2010 court battle.  I generally dont plug my phone into a desktop or laptop anymore unless I forget my usb-c flash drive... I generally just plug the usb-c flash drive into my phone xfer files, then plug that into my desktop/laptop due to this failure of cooperation by Microsoft and Google.)-Other than those 2 things, I have not had a problem with multiple things plugged in like other flash drives simultaneously.",
74823,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AEWIQNPLYEZ6UO6234JHJTWTARUA,4,Let down by Anker,2017-11-24,True,"Received my Anker 4-Port USB hub today and I'm very disappointed. I am using it to plug in my wireless mouse and wireless keyboard. The 2 USB plugs I have connect flawlessly with my laptop. However, when I try plugging in my USBs to the Anker hub I struggle to push in the USBs at all. It took me 10 minutes of wiggling to get my wireless mouse USB to plug into the hub. The hub just seems cheaply made. I've tried plugging in a couple other USBs and they are all difficult to plugin. Also, the USB plug on the Anker that goes into my laptop inserts easily, but it loosely plugged in. I have made sure its pushed in all the way and it just doesn't fit well. I would not recommend this product to others, and for $10 it is not worth the hassle.UPDATE (2/14/18): The seller sent me a new USB hub without me asking. This one actually performs better and is easier for me to connect my USB's. I'm much happier with the product and very happy with the customer service.

Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro / mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",7.0
74824,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AGL5VXY6SQUDY2MT3AM42SWV5BFA,1,Disk Not Ejected Properly,2020-02-13,True,"This hub is unable to provide consistent power to connected devices, even flash drives.Consistently when connecting or disconnecting a device from this hub, the power the hub provides drops momentarily, disconnecting everything that is connected. This results in ""Disk Not Ejected Properly"" notifications in Mac OS, and can cause data loss. In other words, you must eject (safely remove) *everything* connected to this hub to physically connect or disconnect *anything* from this hub.For comparison, I have another bus-powered 4-port USB 3.0 hub from another company which can handle three bus-powered external hard drives and that same flash drive without any problem, so long as each external hard drive is attached to the hub one at a time, and allowed to spin all the way up before the next drive is connected.Conversely, this Anker hub can't handle even one of those external hard drives and the flash drive at the same time. without connection loss if any of the drives are connceted/disconnected.",
74825,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AEDA5NSBEFIDY7TDHZVP6R6IXDRQ,1,Disappointed.,2019-03-12,True,"I had a Sabrent 2.0 NON-powered USB 4-port adapter powering FOUR WD back up drives, *never* had an issue with power consumption connected to an iMac port occasionally.  I decided to upgrade to a 4-port 3.0 device, and since I don't particularly like the push buttons on the ports, I decided to try Anker as I have several of their products.Apparently there is no pass through power as like in the Sabrent port adapter.  Not only is their little power, it would seem they have *blocked* the pass through power.  This device won't power up the drives at all, regardless of how many are connected.  I have no expectation of charging accessories, but I did have an expectation of the hub delivering at least as much power was available to it's connected port.I immediately swapped back out the adapter to the old one, and had *no* issues, just slower USB 2.0 transfer rate, and yes, the Sabrent also lists the same disclaimer about power hungry drives, but at least delivers the main port power to the hub. There is an expectation a hub should at least distribute what power is available from the main USB port into which it's plugged.  This does not.I recognize there is a 'disclaimer' about powered drives in their descritption, but obviously they have constructed this device with less capability than the older Sabrent 2.0 counter part.  And of course, marked ""non-returnable"" in my order list.  I should have, and will now purchase the Sabrent 3.0 hub instead and toss this one out as I have no use for a 4-port hub that won't deliver anything other than a being a small 4 flash drive hub and pass no power from an iMac USB port.Something is missing these days in Anker products.  My iPhone Anker Battery also failed (started swelling to 30% more it's size) after it's 26th month.  Out of warranty. No response from Anker., into the trash.I've learned a $10 lesson...buy the Sabrent reliable product, avoid Anker on Amazon since it's not a simple return as it would be in a brick and mortar store.",2.0
74826,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AGWJ4MPNSMGBX2CLU433DMXC276Q,5,Amazing Customer Support! Justin Rocks!,2021-04-16,True,"I have purchased dozens of Anker products over the years and have never had a problem with any of them. This hub had loose connections in two of the ports, which was very unusual. (I bought the same item last winter for a different computer and it's working perfectly.) I noticed this issue when I would touch a thumb drive that is plugged in and Windows Explorer would open showing the contents of the drive. Then the window would close. I contacted support and got through to Justin right away. He was friendly, knowledgeable, and resolved the problem quickly. I snapped a photo of the back of the hub, emailed it to him, and received confirmation that they are shipping me a replacement. They aren't even making me mail back the defective unit. My thanks to Justin for providing excellent customer support! I don't think any company has a perfect record and I will continue to buy Anker products. This was a freak occurrence and because they helped me with it, I have confidence that I can continue relying on their products in the future.",
74827,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AGSLSPFLF5OZM76OT5IBUYB6GBHQ,2,"Lowest price, technically acceptable partner for 2-in-1's",2016-12-24,True,"This is a bargain item that offers minimal functionality. While the packaging and shipping met standards, the functionality of the item has flaws. 3 of 4 hub ports were out of spec, which required manual manipulation that endangered connections on both device and hub. Also, wireless keyboard faced wake and lag issues that are not present when directly connected to host device. I'm using a CAC smart card reader, a wireless mouse, keyboard, and 128GB usb drive on a mini transformer running windows 10. This package offers the minimal functionality of the 64bit OS, at the least cost on the market. Overall, this is the lowest price, technically acceptable combination I've found and it is a workable solution for travel and telework - however, I do not recommend this setup as the primary for a small business or any kind of data management. I expect critical failure in less than a year, 1.5 tops.",7.0
74828,A294P4X9EWVXLJ,Anker,B00XMD7KPU,"Anker 4-Port USB 3.0 Ultra Slim Data Hub for Macbook, Mac Pro/mini, iMac, Surface Pro, XPS, Notebook PC, USB Flash Drives, Mobile HDD, and More",4.6,AFYGFJUK3OETPA3B5K4RXMUZRJXQ,3,Bad design limits fuctionality,2018-01-28,True,"You might be able to plug in 4 USB cables, but you won't be able to plug in more than 2 USB thumb drives because there is not enough room between the ports to accommodate the drives. Yet had they added a little more space between the ports -  or mounted the ports perpendicular -  there would have been plenty of room. The product is not nearly as useful as it should have been and so it goes to my junk drawer. Anker still makes some nice products, so instead of buying this item I recommend that you pay a few more bucks and get this hub instead: 

Anker USB 3.0 4-Port Portable Aluminum Hub with 2-Foot USB 3.0 Cable (Carbon)

I purchased 2 of these better ones, one for home and one for travel and they are definitely worth the extra money.",6.0
